name,cond_bed,cond_bath,cond_rent,cond_amen,addr_pin,addr_longi,addr_lati
Windsor West Apartments_3b3b,3,3,1450,"Accepts Dogs (with no weight limit) and Cats, Cont, Ample Storage, Attached or Detached Garage or Carport Available, Beautiful Clubhouse With Free WiFi, Built-In Dinette, Certified Maintenance Professionals, Comcast, Direct TV, and AT&T (U-verse) are all ava, Comcast, Direct TV, and AT&T (U-verse) are all available for Cable/Internet options, Conveniently Situated In Southwest Champaign, Energy-Efficient Windows and Doors, Five Acre Lake, Full Size Washer and Dryer in Each Home, Gathering/Party Room, Geothermal Heating/Cooling, Island Counters, Lake View, Leash Free Dog Runs, New YMCA is Directly Across the Street, Nine Foot Ceilings/Vaulted Ceilings on Top Floors, On-Site Car Wash, Patio or Balcony, Private Conference Room, Responsive, On-Site Management, Swimming Pool and Sun Deck, Valet Recycling, Walking/Jogging Path, Pool/Clubhouse Wi-Fi, On-Site Property Manager, Recycling Program, Online Services, Social Events, Pet Park, Car Care Center, Flex Space, Café, Meeting Center, Courtyard, BBQ Grill, Picnic Area, Waterfront, Pond, Bicycle Storage, Multi-Use Trails, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Bathtub/Shower, Sprinkler System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Pantry, Kitchen with Island, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Eat-In Kitchen, Carpeting, Vinyl Flooring, Family Room, Vaulted Ceiling, Room with Views, Walk-In Closets, Linen Closet, Energy-Efficient Windows, Window Coverings, Balcony, Patio, Deck, BBQ Area, Outdoor Grill","2502 Fields South Dr, Champaign, IL 61822",40.08359,-88.30737
,,,,,,,
Presby Hall - UIUC_1b1b,1,1,Call for Rent,"Package Service, Community Wi-Fi Available, On-Site Property Manager, Furnished Apartments, Recycling Program, Housekeeping, Online Services, Meal Service, Energy Star Certified, Social Events, Flex Space, Library, Fitness Center, Theater/Media Center, Wi-Fi, Washer/Dryer, A/C, Heating, Wired for Cable, Storage Units, Bathtub/Shower, Dishwasher, Garbage Disposal, Kitchen, Microwave, Oven, Stove, Refrigerator","405 E John St, Champaign, IL 61820",40.10867,-88.23279
,,,,,,,
Skyline Tower_3b3b,3,3,2995,"50 "" flat screen TV, Granite Countertops, LEED certified Green, Stainless Steel Appliances, Yoga Room, Controlled Access, On-Site Maintenance, Fitness Center, Tennis Court, High Speed Internet, Washer/Dryer, Dishwasher, Garbage Disposal, Microwave, Stove, Refrigerator, Wood Flooring","519 E Green St, Champaign, IL 61820",40.10984,-88.23076
,,,,,,,
1008 S. Fourth_4b4b,4,4,970,"Adjacent To The U of I Ice Arena, Hammocks, INTERNET, WATER, SEWER & TRASH INCLUDED IN RENT!, Modern sectional couches, Near Dunkin' Donuts, Panera Bread & Starbucks, Near Presence Covenant Medical Center & Champaign County Health Care, Near University of Illinois, Near Walgreens & CVS Pharmacy-Photo, Outdoor Recreation Area With Grills, Hammocks & Fireplaces, Resource Furniture, ROOF TOP TERRACE, Smart TVs in all apartments, Smart TV's In All Apartments, Stainless Steel Appliances, STEPS FROM ALL OF YOUR CLASSES!, Walk-In Tiled Showers, Community Wi-Fi Available, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Security System, Video Patrol, Available 24/7, Clubhouse, Flex Space, Gated, Rooftop Access, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Swimming Pool, Bicycle Storage, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Double Vanities, Fireplace, Sprinkler System, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Kitchen with Island, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Room with Views, Furnished, Accent Walls, Balcony, Deck, BBQ Area, Outdoor Grill","1008 S 4th St, Champaign, IL 61820",40.10615,-88.23296
,,,,,,,
Hessel on the Park_2b1.5b,2,1.5,900,"Nature Trail, Self-Service Laundry, On-Site Maintenance, On-Site Property Manager, Pet Park, Picnic Area, Fitness Center, Swimming Pool, Playground, Volleyball Court, High Speed Internet, Washer/Dryer, A/C, Heating, Smoke Free, Storage Units, Bathtub/Shower, Dishwasher, Garbage Disposal, Kitchen, Oven, Stove, Refrigerator, Carpeting","1601-1862 Valley Rd, Champaign, IL 61820",40.09596,-88.24991
,,,,,,,
512 Green_4b3b,4,3,799,"Self-Service Laundry, Controlled Access, Security System, Furnished Apartments, On-Site Shopping, Washer/Dryer, Dishwasher, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring, Ceramic Tile Flooring, Furnished, Window Coverings","512 E Green St, Champaign, IL 61820",40.11055,-88.23145
,,,,,,,
Latitude Apartments_4b4b,4,4,860,"24 hour coffee shop, 24 hour study lounges, A pool house complete with showers, Arcade, Cabana tree houses, Chef-Inspired Kitchens, Club House, Club Latitude with indoor gaming WIFI, Coworking lounge, Crossfit gym, Designer Home Furnishings, Fitness On Demand Room, Garage parking, General Terrace, Hammerhead Coffee with an artisan blend, Heated pool, Individual Leases, Macs and PCs With Free Printing, Memory Foam Queen Beds, Modern High Rise Tree-Houses, On-Site Maintenance, Pool House, Pool Tables, video games, arcade games, Private Bed and Bathrooms, Relaxation rooftop terrace, Reserved parking, Rooftop Deck with Grill & Fire Pits, State of the Art Fitness Center, Study Desks in each oom, Study Desks in Each Room, Study Space, Study Terrace, Surface level and covered parking, Tailgate rooftop terrace, UAVE CrossFit, Wood Look Flooring, Zagster bike sharing, Zagster: Bike Sharing Available On Site, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Property Manager, Concierge, Available 24/7, Furnished Apartments, Social Events, Elevator, Business Center, Clubhouse, Complimentary Breakfast, Executive Housing, Tanning Salon, Gated, Yard with Fence, Courtyard, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Sauna, Spa, Swimming Pool, Gaming Areas, Washer/Dryer, A/C, Heating, Wired for Cable, Dishwasher, Garbage Disposal, Dine-In Kitchen, Kitchen, Microwave, Oven, Refrigerator, Wood Flooring, Ceramic Tile Flooring, Decorative Crown Molding, Vaulted Ceiling","608 E University Ave, Champaign, IL 61820",40.11665,-88.22959
,,,,,,,
112 Green_4b2b,4,2,739,"Furnished Apartments, Washer/Dryer, A/C, Heating, Ceiling Fans, Wired for Cable, Dishwasher, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring","112 E Green St, Champaign, IL 61820",40.11043,-88.23754
,,,,,,,
907 Third_4b2b,4,2,2860,"Furnished Apartments, Business Center, Lounge, Courtyard, High Speed Internet, Washer/Dryer, A/C, Heating, Dishwasher, Garbage Disposal, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring","907 S 3rd St, Champaign, IL 61820",40.10733,-88.23567
,,,,,,,
205 E University Ave_4b2b,4,2,2800,"On-Site Shopping, Flex Space, Fitness Center, A/C, Heating, Kitchen, Oven, Refrigerator","205 E University Ave, Champaign, IL 61820",40.11606,-88.23565
,,,,,,,
609 S. Randolph_4b4b,4,4,450,"Roommate matching up to 3 people available, Package Service, Furnished Apartments, Curbside Trash Pickup, Recycling Program, High Speed Internet, Washer/Dryer, A/C, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Microwave, Oven, Stove, Freezer, Balcony","609 S Randolph St, Champaign, IL 61820",40.10936,-88.24554
,,,,,,,
Tuscany Cove_3b1b,3,1,675,"Utilites NOT INCLUDED, Package Service, Self-Service Laundry, On-Site Maintenance, On-Site Property Manager, Spanish-Speaking, Curbside Trash Pickup, Gated, Sundeck, Fitness Center, Swimming Pool, High Speed Internet, Washer/Dryer, A/C, Ceiling Fans, Smoke Free, Bathtub/Shower, Dishwasher, Garbage Disposal, Stove, Refrigerator, Window Coverings, Patio","2408 High View Ct, Champaign, IL 61821",40.12717,-88.28717
,,,,,,,
Smith Apartments @ 201 East Armory_2b1b,2,1,515,"All NEW Flooring!, Assigned underground parking - $70/month, Furnished, Laundry facilities on site., Plank flooring available, Secured Building Entrance, Self-Service Laundry, Controlled Access, Video Patrol, Available 24/7, Furnished Apartments, Recycling Program, Courtyard, High Speed Internet, A/C, Heating, Smoke Free, Wired for Cable, Bathtub/Shower, Intercom System, Dishwasher, Garbage Disposal, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Wood Flooring, Carpeting, Furnished, Accent Walls, Balcony","201 E Armory Ave, Champaign, IL 61820",40.10512,-88.23724
,,,,,,,
Garden Court Apartments_2b1.5b,2,1.5,595,"Friendly and Caring Owners, Italian Ceramic Floors, Only 5 miles to U of I Quad, Peaceful and Private, Quick Freeway Access, Self-Service Laundry, On-Site Maintenance, On-Site Property Manager, Gated, Courtyard, High Speed Internet, A/C, Heating, Ceiling Fans, Dishwasher, Kitchen, Oven, Refrigerator, Carpeting, Ceramic Tile Flooring, Walk-In Closets","1001-1021 Francis Dr, Champaign, IL 61821",40.13051,-88.26202
,,,,,,,
Parkland Cove Apartments_3b2b,3,2,Call for Rent,"Handicap Accessible Apartments, Self-Service Laundry, Washer/Dryer, A/C, Heating, Ceiling Fans, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Dine-In Kitchen, Microwave, Stove, Carpeting, Vinyl Flooring, Walk-In Closets, Window Coverings","3701 Harbor Estates Ln, Champaign, IL 61822",40.12865,-88.30676
,,,,,,,
Smith Apartments @ 53 East Chalmers_2b2b,2,2,775,"48"" flat screen TV, 48"" Television, 9 foot Ceilings, Assigned covered parking $70/month, Assigned uncovered parking - $50/month, Cherry Cabinetry, corian counters, Elevator, FOB and remote entry system, glass tile backsplash, Quality upgrades throughout, Secure Building, Smooth Cooktop, Vaulted ceilings available, Controlled Access, Security System, Video Patrol, Available 24/7, Furnished Apartments, Recycling Program, Elevator, High Speed Internet, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Alarm System, Bathtub/Shower, Intercom System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Stainless Steel Appliances, Kitchen with Island, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Wood Flooring, Carpeting, Ceramic Tile Flooring, Vaulted Ceiling, Skylight, Linen Closet, Furnished, Accent Walls, Balcony, Patio","53 E Chalmers St, Champaign, IL 61820",40.10633,-88.2399
,,,,,,,
201 West Green Street - BRAND NEW_2b2b,2,2,1450,"55"" FLAT SCREEN TV IN LIVING ROOM, 9 Foot Ceilings Throughout, Balcony in some units, Building entry with FOB Key Access, Ceiling Fans in Bedrooms and Living Room, Dark Wood Cabinetry, Fully Furnished Apartments, Granite Counter Tops, High Speed Fiber Internet Included, Plenty of Onsite Parking, Walking Distance to Campus, Furnished Apartments, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, Dishwasher, Stainless Steel Appliances, Oven, Stove, Refrigerator","201 W Green St, Champaign, IL 61820",40.10995,-88.24602
,,,,,,,
BRAND NEW Healey Place Apartments_4b4b,4,4,Call for Rent,"37 INCH TVS IN EACH BEDROOM, 55 INCH TVS IN ALL LIVING ROOMS, ALL INCLUSIVE UTILITIES WITH A CAP, BUILDING PARKING AVAILABLE FOR A FEE, HIGH SPEED INTERNET INCLUDED IN RENT, OVER 50 SECURITY CAMERAS IN COMMON AREAS, QUEEN SIZE BEDS IN EACH ROOM, ROOM SERVICE FROM THE HUB AVAILABLE, SECURE BUILDING WITH FOB ENTRY SYSTEM, STUDY ROOM AND A CONFERENCE ROOM, TWO COMMUNITY ROOMS, WASHER/DRYER IN UNIT, Clubhouse, Fitness Center, Washer/Dryer, A/C, Heating, Dishwasher, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator","601 S 1st St, Champaign, IL 61820",40.11115,-88.23892
,,,,,,,
Mattis North Apartments_3b1b,3,1,760,"Self-Service Laundry, On-Site Property Manager, Recycling Program, High Speed Internet, A/C, Heating, Smoke Free, Wired for Cable, Kitchen, Oven, Refrigerator, Ceramic Tile Flooring","2000 N Mattis Ave, Champaign, IL 61821",40.13816,-88.27529
,,,,,,,
101 E Green St_4b1.5b,4,1.5,399,"Amenities Pass To 309 Green - $10/Mo, Self-Service Laundry, On-Site Maintenance, Furnished Apartments, High Speed Internet, A/C, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Kitchen, Microwave","101 E Green St, Champaign, IL 61820",40.1101,-88.23826
,,,,,,,
Twin Oaks Apartments_1b1b,1,1,575,"ACROSS THE STREET FROM PARKLAND COLLEGE, Fiber Optic Internet for $25 a month!, Free Golf Membership at Legends for 2017, Laundry Rooms on site!, Self-Service Laundry, On-Site Maintenance, Available 24/7, Curbside Trash Pickup, Picnic Area, High Speed Internet, A/C, Heating, Ceiling Fans, Wired for Cable, Bathtub/Shower, Dishwasher, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Carpeting, Vaulted Ceiling, Walk-In Closets, Linen Closet","2415-2435 W Bradley Ave, Champaign, IL 61821",40.12643,-88.28911
,,,,,,,
Wellington Place Apartments_3b1.5b,3,1.5,1100,"Fiber Optic Internet for $25 Monthly Fee, Free Golf Membership At Legends For 2017, Washer/Dryer Hook-Ups in All Town Homes, Washer/Dryer in all 1 & 2 bedroom Units, On-Site Maintenance, On-Site Property Manager, Spanish-Speaking, Available 24/7, Recycling Program, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Ceiling Fans, Wired for Cable, Storage Units, Bathtub/Shower, Fireplace, Dishwasher, Garbage Disposal, Pantry, Kitchen with Island, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Carpeting, Basement, Vaulted Ceiling, Linen Closet, Energy-Efficient Windows, Balcony, Patio","902 Newcastle Dr, Champaign, IL 61822",40.12657,-88.29662
,,,,,,,
"Hessel Park Centre Apts - JSJ, INC_2b1b",2,1,925,"1/2 block from Hessel Park, Basic cable/internet included in rent, Free cable/internet, Fully furnished apartments, Heating, Key Entry Building, New carpet/leather furniture in Aug '15, Owner pays basic cable/internet & garbag, Spacious, pet friendly and smoke free, Washer and dryer in each unit, Controlled Access, Available 24/7, High Speed Internet, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Storage Units, Bathtub/Shower, Banisters, Intercom System, Sprinkler System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Pantry, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring, Carpeting, Vinyl Flooring, Dining Area, Basement, Office, Den, Attic Space, Built-In Bookshelves, Furnished, Energy-Efficient Windows, Window Coverings, Accent Walls, Balcony, Patio, Porch, Yard, Lawn","1407 S State St, Champaign, IL 61820",40.0993,-88.24716
,,,,,,,
Carisbrooke Apartments_2b1.5b,2,1.5,825,"Across the Street From Marketplace Mall, Lake View Apartments Available, Vaulted Ceilings, On-Site Maintenance, On-Site Property Manager, Lounge, Sundeck, Access to Lake, Fitness Center, Swimming Pool, High Speed Internet, Washer/Dryer, A/C, Ceiling Fans, Smoke Free, Wired for Cable, Satellite TV, Fireplace, Wheelchair Accessible, Dishwasher, Garbage Disposal, Microwave, Stove, Refrigerator, Carpeting, Room with Views","2407 Hampshire Dr, Champaign, IL 61820",40.14497,-88.24632
,,,,,,,
1702 Maynard Dr_3b1.5b,3,1.5,975,"Washer/Dryer Hookup, Smoke Free","1702 Maynard Dr, Champaign, IL 61822",40.09698,-88.2978
,,,,,,,
611 Crescent Dr_1b1b,1,1,650,"Self-Service Laundry, Smoke Free","611 Crescent Dr, Champaign, IL 61821",40.11008,-88.28139
,,,,,,,
210 W Washington St_4b2b,4,2,1225,"Washer/Dryer, Smoke Free","210 W Washington St, Champaign, IL 61820",40.12048,-88.24633
,,,,,,,
308 E Clark St_4b2b,4,2,2295,"Washer/Dryer, Smoke Free, Furnished","308 E Clark St, Champaign, IL 61820",40.11564,-88.23451
,,,,,,,
1119 Plymouth Dr_1b1b,1,1,795,"Washer/Dryer, Smoke Free","1119 Plymouth Dr, Champaign, IL 61821",40.08403,-88.26424
,,,,,,,
703 W Park Ave_1b1b,1,1,575,,"703 W Park Ave, Champaign, IL 61820",40.11697,-88.25467
,,,,,,,
605 S 4th St_0b1b,0,1,595,Self-Service Laundry,"605 S 4th St, Champaign, IL 61820",40.11105,-88.23393
,,,,,,,
310 E Chalmers St_2b1b,2,1,975,Self-Service Laundry,"310 E Chalmers St, Champaign, IL 61820",40.10687,-88.23432
,,,,,,,
107 E Daniel St_4b2b,4,2,1295,"Self-Service Laundry, Smoke Free, Furnished","107 E Daniel St, Champaign, IL 61820",40.10763,-88.23772
,,,,,,,
107 S Wright St_3b1b,3,1,1475,"Self-Service Laundry, Furnished","107 S Wright St, Champaign, IL 61820",40.11558,-88.22935
,,,,,,,
202 W Columbia Ave_1b1b,1,1,849,"Self-Service Laundry, Smoke Free","202 W Columbia Ave, Champaign, IL 61820",40.12147,-88.24571
,,,,,,,
801 S 4th St_2b1b,2,1,1050,"Self-Service Laundry, Smoke Free, Furnished","801 S 4th St, Champaign, IL 61820",40.10878,-88.23377
,,,,,,,
1010 S 1st St_1b1b,1,1,695,,"1010 S 1st St, Champaign, IL 61820",40.10596,-88.23828
,,,,,,,
1012 S 1st St_2b1b,2,1,935,"Self-Service Laundry, Furnished","1012 S 1st St, Champaign, IL 61820",40.10566,-88.23841
,,,,,,,
605 S 4th St_2b1b,2,1,995,"Self-Service Laundry, Smoke Free, Furnished","605 S 4th St, Champaign, IL 61820",40.11105,-88.23393
,,,,,,,
107 S Wright St_5b2b,5,2,2299,"Self-Service Laundry, Smoke Free, Furnished","107 S Wright St, Champaign, IL 61820",40.11558,-88.22935
,,,,,,,
202 W Columbia Ave_2b1b,2,1,1150,"Self-Service Laundry, Smoke Free","202 W Columbia Ave, Champaign, IL 61820",40.12147,-88.24571
,,,,,,,
208 W Washington St_4b2b,4,2,1825,Washer/Dryer,"208 W Washington St, Champaign, IL 61820",40.12048,-88.24613
,,,,,,,
310 E Chalmers St_1b1b,1,1,695,,"310 E Chalmers St, Champaign, IL 61820",40.10687,-88.23432
,,,,,,,
1119 Plymouth Dr_2b2b,2,2,995,"Washer/Dryer, Stainless Steel Appliances, Walk-In Closets","1119 Plymouth Dr, Champaign, IL 61821",40.08403,-88.26424
,,,,,,,
1012 S 1st St_2b1b,2,1,935,"Self-Service Laundry, Furnished","1012 S 1st St, Champaign, IL 61820",40.10566,-88.23841
,,,,,,,
107 S Wright St_3b1b,3,1,1475,"Self-Service Laundry, Smoke Free, Furnished","107 S Wright St, Champaign, IL 61820",40.11558,-88.22935
,,,,,,,
202 W Columbia Ave_2b1b,2,1,1125,Self-Service Laundry,"202 W Columbia Ave, Champaign, IL 61820",40.12147,-88.24571
,,,,,,,
1010 S 1st St_1b1b,1,1,695,,"1010 S 1st St, Champaign, IL 61820",40.10596,-88.23828
,,,,,,,
310 E Chalmers St_2b1b,2,1,1025,Self-Service Laundry,"310 E Chalmers St, Champaign, IL 61820",40.10687,-88.23432
,,,,,,,
107 S Wright St_0b1b,0,1,621,"Self-Service Laundry, Furnished","107 S Wright St, Champaign, IL 61820",40.11558,-88.22935
,,,,,,,
202 W Columbia Ave_1b1b,1,1,901,Self-Service Laundry,"202 W Columbia Ave, Champaign, IL 61820",40.12147,-88.24571
,,,,,,,
107 E Daniel St_4b2b,4,2,1295,Self-Service Laundry,"107 E Daniel St, Champaign, IL 61820",40.10763,-88.23772
,,,,,,,
107 E Daniel St_4b2b,4,2,1295,"Self-Service Laundry, Furnished","107 E Daniel St, Champaign, IL 61820",40.10763,-88.23772
,,,,,,,
107 E Daniel St_4b2b,4,2,1295,"Self-Service Laundry, Furnished","107 E Daniel St, Champaign, IL 61820",40.10763,-88.23772
,,,,,,,
506 E White St_2b1b,2,1,1140,"Self-Service Laundry, Smoke Free, Furnished","506 E White St, Champaign, IL 61820",40.1147,-88.23138
,,,,,,,
506 E White St_3b1b,3,1,1272,"Self-Service Laundry, Smoke Free, Furnished","506 E White St, Champaign, IL 61820",40.1147,-88.23138
,,,,,,,
805 S Locust St_4b1b,4,1,395,"Washer/Dryer Hookup, Smoke Free, Furnished","805 S Locust St, Champaign, IL 61820",40.10882,-88.24035
,,,,,,,
805 S Locust St_4b1b,4,1,395,"Washer/Dryer Hookup, Smoke Free, Furnished","805 S Locust St, Champaign, IL 61820",40.10882,-88.24035
,,,,,,,
750 Sedgegrass Dr_3b2.5b,3,2.5,1595,Washer/Dryer,"750 Sedgegrass Dr, Champaign, IL 61822",40.1237,-88.30617
,,,,,,,
2401 Clayton Blvd_1b1b,1,1,829,"Washer/Dryer, Furnished","2401 Clayton Blvd, Champaign, IL 61822",40.12712,-88.2865
,,,,,,,
1516 Stonebluff Ct_3b2.5b,3,2.5,1690,Washer/Dryer,"1516 Stonebluff Ct, Champaign, IL 61822",40.13383,-88.30283
,,,,,,,
2401 Clayton Blvd_0b1b,0,1,699,Washer/Dryer,"2401 Clayton Blvd, Champaign, IL 61822",40.12712,-88.2865
,,,,,,,
756 Sedgegrass Dr_3b2.5b,3,2.5,1595,Washer/Dryer,"756 Sedgegrass Dr, Champaign, IL 61822",40.12412,-88.30618
,,,,,,,
1518 Greyrock Ln_3b2.5b,3,2.5,1690,Washer/Dryer,"1518 Greyrock Ln, Champaign, IL 61822",40.13312,-88.30376
,,,,,,,
1404 Cobblestone Way_3b2.5b,3,2.5,1690,Washer/Dryer,"1404 Cobblestone Way, Champaign, IL 61822",40.13036,-88.30454
,,,,,,,
752 Sedgegrass Dr_3b2.5b,3,2.5,1595,Washer/Dryer,"752 Sedgegrass Dr, Champaign, IL 61822",40.12383,-88.30615
,,,,,,,
1515 W Kirby Ave_2b1.5b,2,1.5,699,Self-Service Laundry,"1515 W Kirby Ave, Champaign, IL 61821",40.09819,-88.27151
,,,,,,,
1204 W Bradley Ave_3b1b,3,1,750,Washer/Dryer,"1204 W Bradley Ave, Champaign, IL 61821",40.1275,-88.26565
,,,,,,,
2401 Clayton Blvd_2b2b,2,2,1195,Washer/Dryer,"2401 Clayton Blvd, Champaign, IL 61822",40.12712,-88.2865
,,,,,,,
410 E Park St_5b5b,5,5,1750,Washer/Dryer,"410 E Park St, Champaign, IL 61820",40.11764,-88.23257
,,,,,,,
1001 N Walnut St_4b3b,4,3,1200,Washer/Dryer,"1001 N Walnut St, Champaign, IL 61820",40.1251,-88.24145
,,,,,,,
210 E Park St_4b3b,4,3,1920,Washer/Dryer,"210 E Park St, Champaign, IL 61820",40.11762,-88.23589
,,,,,,,
1515 W Kirby Ave_2b1.5b,2,1.5,699,Self-Service Laundry,"1515 W Kirby Ave, Champaign, IL 61821",40.09819,-88.27151
,,,,,,,
735 S Mattis Ave_3b1.5b,3,1.5,895,Washer/Dryer,"735 S Mattis Ave, Champaign, IL 61821",40.10865,-88.27672
,,,,,,,
622 W Clark St_2b1b,2,1,795,Self-Service Laundry,"622 W Clark St, Champaign, IL 61820",40.11557,-88.25404
,,,,,,,
1801 W John St_3b1.5b,3,1.5,995,Washer/Dryer,"1801 W John St, Champaign, IL 61821",40.10897,-88.27685
,,,,,,,
116 N Walnut St_2b1b,2,1,1275,Washer/Dryer,"116 N Walnut St, Champaign, IL 61820",40.1167,-88.24244
,,,,,,,
2006 Parkdale Dr_3b1b,3,1,1015,Washer/Dryer,"2006 Parkdale Dr, Champaign, IL 61821",40.09774,-88.28062
,,,,,,,
1831 Parkdale Dr_3b1.5b,3,1.5,940,Washer/Dryer,"1831 Parkdale Dr, Champaign, IL 61821",40.09725,-88.2797
,,,,,,,
1402 Myrtle Beach Ave_3b2.5b,3,2.5,1690,"Washer/Dryer Hookup, Smoke Free","1402 Myrtle Beach Ave, Champaign, IL 61822",40.09032,-88.32143
,,,,,,,
1106 Hickory St_4b2.5b,4,2.5,1050,Washer/Dryer,"1106 Hickory St, Champaign, IL 61820",40.12645,-88.24197
,,,,,,,
2405 Lawndale Dr_3b1b,3,1,1095,"Washer/Dryer Hookup, Smoke Free","2405 Lawndale Dr, Champaign, IL 61821",40.09892,-88.28651
,,,,,,,
1513 W Kirby Ave_3b1.5b,3,1.5,799,Self-Service Laundry,"1513 W Kirby Ave, Champaign, IL 61821",40.09757,-88.27126
,,,,,,,
1406 Bluegrass Ln_4b2.5b,4,2.5,1225,"Washer/Dryer, Fireplace, Kitchen, Wood Flooring, Basement, Yard","1406 Bluegrass Ln, Champaign, IL 61822",40.13019,-88.30853
,,,,,,,
503 E Springfield Ave_1b1b,1,1,790,"Washer/Dryer, Wheelchair Accessible, Furnished","503 E Springfield Ave, Champaign, IL 61820",40.11238,-88.23161
,,,,,,,
507 W Kirby Ave_5b1.5b,5,1.5,1900,"Furnished Apartments, Washer/Dryer, Smoke Free","507 W Kirby Ave, Champaign, IL 61820",40.09785,-88.25059
,,,,,,,
503 E Springfield Ave_2b2b,2,2,1198,"Washer/Dryer, Furnished","503 E Springfield Ave, Champaign, IL 61820",40.11238,-88.23161
,,,,,,,
1615 Bassett Ln_4b3.5b,4,3.5,1700,Washer/Dryer,"1615 Bassett Ln, Champaign, IL 61821",40.08397,-88.27294
,,,,,,,
1308 Grandview Dr_1b1b,1,1,635,Self-Service Laundry,"1308 Grandview Dr, Champaign, IL 61820",40.10154,-88.25011
,,,,,,,
207 E Healey St_1b1b,1,1,465,"Smoke Free, Furnished","207 E Healey St, Champaign, IL 61820",40.11119,-88.23595
,,,,,,,
107 E John St_1b1b,1,1,565,"Self-Service Laundry, Furnished","107 E John St, Champaign, IL 61820",40.10875,-88.23774
,,,,,,,
105 E John St_1b1b,1,1,645,"Self-Service Laundry, Smoke Free, Furnished","105 E John St, Champaign, IL 61820",40.10875,-88.23798
,,,,,,,
110 E John St_1b1b,1,1,715,"Washer/Dryer, Smoke Free, Furnished","110 E John St, Champaign, IL 61820",40.10934,-88.23752
,,,,,,,
57 E Healey St_0b1b,0,1,495,"Self-Service Laundry, Smoke Free, Furnished","57 E Healey St, Champaign, IL 61820",40.11113,-88.23935
,,,,,,,
1308 Grandview Dr_1b1b,1,1,605,Washer/Dryer,"1308 Grandview Dr, Champaign, IL 61820",40.10154,-88.25011
,,,,,,,
1407 Rosewood Dr_3b1b,3,1,1065,"Washer/Dryer, Smoke Free","1407 Rosewood Dr, Champaign, IL 61821",40.10024,-88.27891
,,,,,,,
502 E Springfield Ave_3b2.5b,3,2.5,1575,"Washer/Dryer, Furnished","502 E Springfield Ave, Champaign, IL 61820",40.11287,-88.23186
,,,,,,,
305 Birch St_1b1b,1,1,650,Self-Service Laundry,"305 Birch St, Champaign, IL 61820",40.09964,-88.24725
,,,,,,,
1320 Frederick St_1b1b,1,1,530,,"1320 Frederick St, Champaign, IL 61820",40.10019,-88.24525
,,,,,,,
301 S 4th St_2b2b,2,2,1140,"Washer/Dryer, Furnished","301 S 4th St, Champaign, IL 61820",40.11415,-88.23375
,,,,,,,
307 Birch St_1b1b,1,1,595,Self-Service Laundry,"307 Birch St, Champaign, IL 61820",40.09964,-88.24772
,,,,,,,
1208 S Elm Blvd_2b1b,2,1,905,Washer/Dryer Hookup,"1208 S Elm Blvd, Champaign, IL 61820",40.10251,-88.25011
,,,,,,,
310 Avondale Ave_2b1b,2,1,975,Washer/Dryer Hookup,"310 Avondale Ave, Champaign, IL 61820",40.1035,-88.24774
,,,,,,,
502 E Springfield Ave_3b2.5b,3,2.5,1770,"Washer/Dryer, Furnished","502 E Springfield Ave, Champaign, IL 61820",40.11287,-88.23186
,,,,,,,
