name,cond_bed,cond_bath,cond_rent,cond_amen,addr_pin,addr_longi,addr_lati,apt_rating,apt_contact,apt_image
Gentry Square Apartments_2b2.5b,2,2.5,1385,"24-hour Fitness Center, Beautiful Clubhouse with Free WiFi & Kitchen, Avai, Cable & Satellite TV Options, Cable and Satellite TV Options, Carport with Every Apartment Home, Certified Maintenance Professionals, Conveniently Situated in Southwest Champaign, Energy Efficient Doors & Pella Windows, Garbage Disposal & Icemaker Included, Generous Cabinet & Countertop Space, Granite Countertops, Jogging & Bike Trails, Lake Views Available, Leash-Free Dog Run, Lighted Tennis Court, Monthly Pest Control, On 10 Gold Public Bus Route to U of I Campus, Outside Storage Closet, Pets Allowed, Pets Allowed ( Contact Us for Details), Picnic Areas with Grills, Private Entrance, Private Patio or Balcony, Responsive, On-site Management, Site Sits on Eleven Beautifully Landscaped Acres, Site Sits on Eleven Beautifully Landscaped, Tree-L, Sparkling Swimming Pool with Sun Deck, Stainless Fridge, Range, DW, & Microwave, Stainless Steel Appliances Including Fridge, Stove, Tranquil Lake with Fountain, Valet Recycling, Vaulted Ceilings Available, Walk-in Closets, Washer/Dryer Set Included, Wood-burning Fireplaces in Townhomes, Pool/Clubhouse Wi-Fi, On-Site Property Manager, Recycling Program, Pet Park, Car Care Center, Flex Space, Café, BBQ Grill, Picnic Area, Waterfront, Pond, Multi-Use Trails, High Speed Internet, Washer/Dryer, A/C, Heating, Wired for Cable, Satellite TV, Storage Units, Fireplace, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Carpeting, Vaulted Ceiling, Room with Views, Walk-In Closets, Balcony, Patio, Deck, Outdoor Grill","1712 Gentry Square Ln, Champaign, IL 61821",40.09165,-88.27564,5,(217) 305-7798,https://image3.apartmentfinder.com/i2/cRrQA1dXvj-WZRnic4Hfavfk88s48xZEvOFiGmHfkrA/118/gentry-square-apartments-champaign-il-exterior---pool-and-sundeck.jpg
,,,,,,,,,,
Regency West_3b1b,3,1,700,"Washer/Dryer Rentals Available, Washer/Dryer Hookup, A/C, Alarm System, Bathtub/Shower, Kitchen, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Furnished, Yard, Lawn","3 Hanover Ct, Champaign, IL 61821",40.14646,-88.27104,4,(844) 443-7164,https://image4.apartmentfinder.com/i2/q_-svQjpDXMHHrfOtqIIIM3TtgiTy7TAOSdxjQ-yHwA/118/regency-west-champaign-il-primary-photo.jpg
,,,,,,,,,,
The Courtyard on Randolph_3b1b,3,1,699,"Ceiling Fans in select units, Self-Service Laundry, Recycling Program, Courtyard, Swimming Pool, Bicycle Storage, High Speed Internet, Wi-Fi, A/C, Heating, Ceiling Fans, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Pantry, Kitchen, Oven, Refrigerator, Carpeting, Vinyl Flooring, Dining Area, Linen Closet, Energy-Efficient Windows, Window Coverings, Balcony, Patio","713-717 S Randolph St, Champaign, IL 61820",40.10772,-88.24533,4,(844) 206-1889,https://image1.apartmentfinder.com/i2/QnBoPP-FblD4Oz1LDBdIHQJ-n-qd5fNyXRTmIzYNLxk/118/the-courtyard-on-randolph-champaign-il-primary-photo.jpg
,,,,,,,,,,
Parkland Point_4b4b,4,4,675,"Community Wi-Fi Available, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Available 24/7, Furnished Apartments, Recycling Program, Business Center, Clubhouse, Lounge, Café, Gated, BBQ Grill, Picnic Area, Swimming Pool, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Bathtub/Shower, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Pantry, Kitchen, Microwave, Oven, Refrigerator, Carpeting, Vinyl Flooring, Furnished, Balcony, Patio","2002 W Bradley Ave, Champaign, IL 61821",40.12831,-88.28137,5,(877) 450-5929,https://image3.apartmentfinder.com/i2/cndCdF9jcW7tukIOlyiN4lVpuRmK5Z7VturZ9yUmWRA/118/parkland-point-champaign-il-leasing-office-clubhouse.jpg
,,,,,,,,,,
Gramercy Park Apartments_2b1b,2,1,670,"Bark Park, BBQ Grill, Sundeck, Swimming Pool, Tanning Bed, Self-Service Laundry, On-Site Maintenance, Pet Care Center, Business Center, Clubhouse, Lounge, Fitness Center, Playground, Tennis Court, High Speed Internet, A/C, Heating, Ceiling Fans, Wired for Cable, Bathtub/Shower, Dishwasher, Kitchen, Stove, Wood Flooring, Carpeting, Ceramic Tile Flooring, Vinyl Flooring, Dining Area, Skylight, Walk-In Closets, Window Coverings","2106 W White St, Champaign, IL 61821",40.11435,-88.28538,4,(844) 835-0803,https://image3.apartmentfinder.com/i2/i74R9nzENQlJtA7QgBs2WKhmVTMbpYZZcCjSpOYgL6U/118/gramercy-park-apartments-champaign-il-2-bedroom-kitchen.jpg
,,,,,,,,,,
Colony West_3b1.5b,3,1.5,1150,"Excellent Location, On Bus Line, swimming pool and tennis courts, tennis courts, Vaulted Ceilings Available in some, walking paths, Walking/Jogging Path throughout park area, Pool/Clubhouse Wi-Fi, On-Site Maintenance, Available 24/7, Curbside Trash Pickup, Front Door Trash Pickup, Clubhouse, Extra Storage, Sundeck, BBQ Grill, Waterfront, Pond, Swimming Pool, Playground, Bicycle Storage, Basketball Court, Tennis Court, Multi-Use Trails, High Speed Internet, Wi-Fi, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Ceiling Fans, Wired for Cable, Satellite TV, Trash Compactor, Storage Units, Bathtub/Shower, Fireplace, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Pantry, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Ceramic Tile Flooring, Vinyl Flooring, Dining Area, Den, Vaulted Ceiling, Room with Views, Walk-In Closets, Linen Closet, Loft-Style Apartment, Energy-Efficient Windows, Window Coverings, Balcony, Patio, Porch, Deck, Yard, Lawn, Outdoor Grill","31 Colony West Dr, Champaign, IL 61820",40.08645,-88.25612,4,(217) 305-7671,https://image2.apartmentfinder.com/i2/-RAaYxQdFNvw587qx687V5ts7Fh1xKtBJ48dpnojAas/118/colony-west-champaign-il-primary-photo.jpg
,,,,,,,,,,
Colony Court_3b1b,3,1,850,"Great Location, Close to Everything, Most units have Washer/Dryer provided., Newly Remodeled, On Bus Line, On-Site Maintenance, Available 24/7, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Dine-In Kitchen, Kitchen, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Linen Closet, Window Coverings, Patio, Deck, Outdoor Grill","502 S Mattis Ave, Champaign, IL 61821",40.1117,-88.2757,3,(217) 305-7651,https://image2.apartmentfinder.com/i2/3PnRMH4ZbLqkJ1YQ0m8eEdnJFSjDGf5yT2fhegDIHQk/118/colony-court-champaign-il-primary-photo.jpg
,,,,,,,,,,
Flats on White_4b2b,4,2,425,"Self-Service Laundry, Fireplace, Dishwasher, Balcony, Patio","202 E White St, Champaign, IL 61820",40.11468,-88.23641,4,(217) 305-4407,https://image2.apartmentfinder.com/i2/dHl6fHht87Wydf_m3jdLGIySMJwF7ZfCvQWH-esxHWg/118/flats-on-white-champaign-il-primary-photo.jpg
,,,,,,,,,,
905 Lofts_2b1b,2,1,525,"Self-Service Laundry, Furnished Apartments, Curbside Trash Pickup, Bicycle Storage, High Speed Internet, Washer/Dryer, A/C, Smoke Free, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Stainless Steel Appliances, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Carpeting, Ceramic Tile Flooring, Vinyl Flooring, Vaulted Ceiling, Furnished, Window Coverings, Balcony, Patio, Porch, Deck","905 S Locust St, Champaign, IL 61820",40.10729,-88.24056,4,(217) 305-4330,https://image2.apartmentfinder.com/i2/2cre-VOaCikstYs9DENOunigKKX90Ikt9Ml0OE51uqA/118/905-lofts-champaign-il-primary-photo.jpg
,,,,,,,,,,
Victoria Point_3b2b,3,2,1055,"Free High Speed Internet, Limited Access Building, Very Large 2 Bedrooms, Washer / Dryer in each Apartment, Fitness Plans, High Speed Internet, Washer/Dryer, A/C, Ceiling Fans, Smoke Free, Wheelchair Accessible, Dishwasher, Stainless Steel Appliances, Dine-In Kitchen, Microwave, Refrigerator, Vinyl Flooring, Vaulted Ceiling","2302 W John St, Champaign, IL 61821",40.10968,-88.28502,5,(877) 786-4856,https://image1.apartmentfinder.com/i2/895s9bD4OneVjdkC0-GLgGgsvQLw3ACSfJPMXkp9drM/118/victoria-point-champaign-il-primary-photo.jpg
,,,,,,,,,,
Smith Apartments @ 1004 South Locust_2b1b,2,1,465,"Handicap accessible, New washer/dryer in unit, Self-Service Laundry, Controlled Access, Video Patrol, Available 24/7, Furnished Apartments, Recycling Program, Courtyard, High Speed Internet, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Bathtub/Shower, Intercom System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Furnished, Accent Walls, Balcony, Patio","1004 S Locust St, Champaign, IL 61820",40.10603,-88.23993,3,(217) 305-7784,https://image3.apartmentfinder.com/i2/ZCXeN28y19fovaXkEWkGELa9698VaUgd1oUWjezoGIs/118/smith-apartments-1004-south-locust-champaign-il-primary-photo.jpg
,,,,,,,,,,
Windsor West Apartments_3b3b,3,3,1450,"Accepts Dogs (with no weight limit) and Cats, Cont, Ample Storage, Attached or Detached Garage or Carport Available, Beautiful Clubhouse With Free WiFi, Built-In Dinette, Certified Maintenance Professionals, Comcast, Direct TV, and AT&T (U-verse) are all ava, Comcast, Direct TV, and AT&T (U-verse) are all available for Cable/Internet options, Conveniently Situated In Southwest Champaign, Energy-Efficient Windows and Doors, Five Acre Lake, Full Size Washer and Dryer in Each Home, Gathering/Party Room, Geothermal Heating/Cooling, Island Counters, Lake View, Leash Free Dog Runs, New YMCA is Directly Across the Street, Nine Foot Ceilings/Vaulted Ceilings on Top Floors, On-Site Car Wash, Patio or Balcony, Private Conference Room, Responsive, On-Site Management, Swimming Pool and Sun Deck, Valet Recycling, Walking/Jogging Path, Pool/Clubhouse Wi-Fi, On-Site Property Manager, Recycling Program, Online Services, Social Events, Pet Park, Car Care Center, Flex Space, Café, Meeting Center, Courtyard, BBQ Grill, Picnic Area, Waterfront, Pond, Bicycle Storage, Multi-Use Trails, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Bathtub/Shower, Sprinkler System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Pantry, Kitchen with Island, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Eat-In Kitchen, Carpeting, Vinyl Flooring, Family Room, Vaulted Ceiling, Room with Views, Walk-In Closets, Linen Closet, Energy-Efficient Windows, Window Coverings, Balcony, Patio, Deck, BBQ Area, Outdoor Grill","2502 Fields South Dr, Champaign, IL 61822",40.08359,-88.30737,5,(217) 318-0939,https://image2.apartmentfinder.com/i2/-4FMDGte1OUpYwFYrn21B5q7R8tubcbz4wZz4iCCMoM/118/windsor-west-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
Presby Hall - UIUC_1b1b,1,1,Call for Rent,"Package Service, Community Wi-Fi Available, On-Site Property Manager, Furnished Apartments, Recycling Program, Housekeeping, Online Services, Meal Service, Energy Star Certified, Social Events, Flex Space, Library, Fitness Center, Theater/Media Center, Wi-Fi, Washer/Dryer, A/C, Heating, Wired for Cable, Storage Units, Bathtub/Shower, Dishwasher, Garbage Disposal, Kitchen, Microwave, Oven, Stove, Refrigerator","405 E John St, Champaign, IL 61820",40.10867,-88.23279,0,(866) 678-9526,https://image4.apartmentfinder.com/i2/1oAt3kd8Z_XX4MzqRwGDeMRmstfnrQdsarnQD1iDbhM/118/presby-hall---uiuc-champaign-il-primary-photo.jpg
,,,,,,,,,,
Skyline Tower_3b3b,3,3,2995,"50 "" flat screen TV, Granite Countertops, LEED certified Green, Stainless Steel Appliances, Yoga Room, Controlled Access, On-Site Maintenance, Fitness Center, Tennis Court, High Speed Internet, Washer/Dryer, Dishwasher, Garbage Disposal, Microwave, Stove, Refrigerator, Wood Flooring","519 E Green St, Champaign, IL 61820",40.10984,-88.23076,5,(217) 305-7101,https://image1.apartmentfinder.com/i2/U-5k3Sygw0U-q2JrYcaHtIYR3BSx1vUPnONukYmZmLM/118/skyline-tower-champaign-il-primary-photo.jpg
,,,,,,,,,,
1008 S. Fourth_4b4b,4,4,970,"Adjacent To The U of I Ice Arena, Hammocks, INTERNET, WATER, SEWER & TRASH INCLUDED IN RENT!, Modern sectional couches, Near Dunkin' Donuts, Panera Bread & Starbucks, Near Presence Covenant Medical Center & Champaign County Health Care, Near University of Illinois, Near Walgreens & CVS Pharmacy-Photo, Outdoor Recreation Area With Grills, Hammocks & Fireplaces, Resource Furniture, ROOF TOP TERRACE, Smart TVs in all apartments, Smart TV's In All Apartments, Stainless Steel Appliances, STEPS FROM ALL OF YOUR CLASSES!, Walk-In Tiled Showers, Community Wi-Fi Available, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Security System, Video Patrol, Available 24/7, Clubhouse, Flex Space, Gated, Rooftop Access, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Swimming Pool, Bicycle Storage, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Double Vanities, Fireplace, Sprinkler System, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Kitchen with Island, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Room with Views, Furnished, Accent Walls, Balcony, Deck, BBQ Area, Outdoor Grill","1008 S 4th St, Champaign, IL 61820",40.10615,-88.23296,5,(844) 893-3443,https://image2.apartmentfinder.com/i2/_2P-2GmdkjHLI4ItfMyBjaWdi30byCyxOBndJwnedj0/118/1008-s-fourth-champaign-il-primary-photo.jpg
,,,,,,,,,,
Hessel on the Park_2b1.5b,2,1.5,900,"Nature Trail, Self-Service Laundry, On-Site Maintenance, On-Site Property Manager, Pet Park, Picnic Area, Fitness Center, Swimming Pool, Playground, Volleyball Court, High Speed Internet, Washer/Dryer, A/C, Heating, Smoke Free, Storage Units, Bathtub/Shower, Dishwasher, Garbage Disposal, Kitchen, Oven, Stove, Refrigerator, Carpeting","1601-1862 Valley Rd, Champaign, IL 61820",40.09596,-88.24991,3,(217) 318-3731,https://image2.apartmentfinder.com/i2/kj3K9arWGZfKgBwqrOR-vKjKeW7kxnUT6CWazhATasU/118/hessel-on-the-park-champaign-il-hessel-on-the-park-apartments-townhomes.jpg
,,,,,,,,,,
512 Green_4b3b,4,3,799,"Self-Service Laundry, Controlled Access, Security System, Furnished Apartments, On-Site Shopping, Washer/Dryer, Dishwasher, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring, Ceramic Tile Flooring, Furnished, Window Coverings","512 E Green St, Champaign, IL 61820",40.11055,-88.23145,4,(217) 600-6320,https://image3.apartmentfinder.com/i2/IdXhaTabspRf1dHH2VXDYuc4Y8-OCjTph7OsE51trcg/118/512-green-champaign-il-primary-photo.jpg
,,,,,,,,,,
Latitude Apartments_4b4b,4,4,860,"24 hour coffee shop, 24 hour study lounges, A pool house complete with showers, Arcade, Cabana tree houses, Chef-Inspired Kitchens, Club House, Club Latitude with indoor gaming WIFI, Coworking lounge, Crossfit gym, Designer Home Furnishings, Fitness On Demand Room, Garage parking, General Terrace, Hammerhead Coffee with an artisan blend, Heated pool, Individual Leases, Macs and PCs With Free Printing, Memory Foam Queen Beds, Modern High Rise Tree-Houses, On-Site Maintenance, Pool House, Pool Tables, video games, arcade games, Private Bed and Bathrooms, Relaxation rooftop terrace, Reserved parking, Rooftop Deck with Grill & Fire Pits, State of the Art Fitness Center, Study Desks in each oom, Study Desks in Each Room, Study Space, Study Terrace, Surface level and covered parking, Tailgate rooftop terrace, UAVE CrossFit, Wood Look Flooring, Zagster bike sharing, Zagster: Bike Sharing Available On Site, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Property Manager, Concierge, Available 24/7, Furnished Apartments, Social Events, Elevator, Business Center, Clubhouse, Complimentary Breakfast, Executive Housing, Tanning Salon, Gated, Yard with Fence, Courtyard, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Sauna, Spa, Swimming Pool, Gaming Areas, Washer/Dryer, A/C, Heating, Wired for Cable, Dishwasher, Garbage Disposal, Dine-In Kitchen, Kitchen, Microwave, Oven, Refrigerator, Wood Flooring, Ceramic Tile Flooring, Decorative Crown Molding, Vaulted Ceiling","608 E University Ave, Champaign, IL 61820",40.11665,-88.22959,4,(844) 712-6077,https://image2.apartmentfinder.com/i2/Ow7j87-l5mvK6D1nLTyFNOwRyXRxhwJNi16W3ci6s5Y/118/latitude-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
112 Green_4b2b,4,2,739,"Furnished Apartments, Washer/Dryer, A/C, Heating, Ceiling Fans, Wired for Cable, Dishwasher, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring","112 E Green St, Champaign, IL 61820",40.11043,-88.23754,5,(217) 689-0514,https://image4.apartmentfinder.com/i2/toBb8lnziy5qQ_GMsrfz0qSm1YbttepLRTccUSq3fBU/118/112-green-champaign-il-primary-photo.jpg
,,,,,,,,,,
907 Third_4b2b,4,2,2860,"Furnished Apartments, Business Center, Lounge, Courtyard, High Speed Internet, Washer/Dryer, A/C, Heating, Dishwasher, Garbage Disposal, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring","907 S 3rd St, Champaign, IL 61820",40.10733,-88.23567,3,(217) 305-7031,https://image2.apartmentfinder.com/i2/7AL5SVLruUeqdSmKhRhppvBn0u2F_2bApZOcO6StrfM/118/907-third-champaign-il-primary-photo.jpg
,,,,,,,,,,
205 E University Ave_4b2b,4,2,2800,"On-Site Shopping, Flex Space, Fitness Center, A/C, Heating, Kitchen, Oven, Refrigerator","205 E University Ave, Champaign, IL 61820",40.11606,-88.23565,5,(217) 689-1643,https://image1.apartmentfinder.com/i2/SJwVpSAHKv9nIBR_1QCjme4KFFAX6vMTECQJZhlcCFM/118/205-e-university-ave-champaign-il-primary-photo.jpg
,,,,,,,,,,
609 S. Randolph_4b4b,4,4,450,"Roommate matching up to 3 people available, Package Service, Furnished Apartments, Curbside Trash Pickup, Recycling Program, High Speed Internet, Washer/Dryer, A/C, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Microwave, Oven, Stove, Freezer, Balcony","609 S Randolph St, Champaign, IL 61820",40.10936,-88.24554,4,(217) 305-7805,https://image3.apartmentfinder.com/i2/VzKKN8frNtQCjU4B7qSmHxUQgspOrtGX9sWH9LAtdN4/118/609-s-randolph-champaign-il-primary-photo.jpg
,,,,,,,,,,
Tuscany Cove_3b1b,3,1,675,"Utilites NOT INCLUDED, Package Service, Self-Service Laundry, On-Site Maintenance, On-Site Property Manager, Spanish-Speaking, Curbside Trash Pickup, Gated, Sundeck, Fitness Center, Swimming Pool, High Speed Internet, Washer/Dryer, A/C, Ceiling Fans, Smoke Free, Bathtub/Shower, Dishwasher, Garbage Disposal, Stove, Refrigerator, Window Coverings, Patio","2408 High View Ct, Champaign, IL 61821",40.12717,-88.28717,4,(217) 305-7662,https://image4.apartmentfinder.com/i2/TR9aL2oV8Cx6ADBGIxVuaumQ6mkC2zQifJy8OSl4r6c/118/tuscany-cove-champaign-il-primary-photo.jpg
,,,,,,,,,,
Smith Apartments @ 201 East Armory_2b1b,2,1,515,"All NEW Flooring!, Assigned underground parking - $70/month, Furnished, Laundry facilities on site., Plank flooring available, Secured Building Entrance, Self-Service Laundry, Controlled Access, Video Patrol, Available 24/7, Furnished Apartments, Recycling Program, Courtyard, High Speed Internet, A/C, Heating, Smoke Free, Wired for Cable, Bathtub/Shower, Intercom System, Dishwasher, Garbage Disposal, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Wood Flooring, Carpeting, Furnished, Accent Walls, Balcony","201 E Armory Ave, Champaign, IL 61820",40.10512,-88.23724,0,(844) 741-8196,https://image4.apartmentfinder.com/i2/fraHBXEu1nM7hduLK7iKcIaKfxc6vddmCC08JyPWs4M/118/smith-apartments-201-east-armory-champaign-il-primary-photo.jpg
,,,,,,,,,,
Garden Court Apartments_2b1.5b,2,1.5,595,"Friendly and Caring Owners, Italian Ceramic Floors, Only 5 miles to U of I Quad, Peaceful and Private, Quick Freeway Access, Self-Service Laundry, On-Site Maintenance, On-Site Property Manager, Gated, Courtyard, High Speed Internet, A/C, Heating, Ceiling Fans, Dishwasher, Kitchen, Oven, Refrigerator, Carpeting, Ceramic Tile Flooring, Walk-In Closets","1001-1021 Francis Dr, Champaign, IL 61821",40.13051,-88.26202,4,(217) 305-7646,https://image2.apartmentfinder.com/i2/JlM5wsn3iN2i8l9q01PSgorfYfFlTvEw1fbKRSSobwo/118/garden-court-apartments-champaign-il-courtyard.jpg
,,,,,,,,,,
Parkland Cove Apartments_3b2b,3,2,Call for Rent,"Handicap Accessible Apartments, Self-Service Laundry, Washer/Dryer, A/C, Heating, Ceiling Fans, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Dine-In Kitchen, Microwave, Stove, Carpeting, Vinyl Flooring, Walk-In Closets, Window Coverings","3701 Harbor Estates Ln, Champaign, IL 61822",40.12865,-88.30676,4,(217) 305-7071,https://image1.apartmentfinder.com/i2/CM-SaP5cxKk6vfMplQC3-ZFUXoucZcQVK3wFaZJL0-U/118/parkland-cove-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
Smith Apartments @ 53 East Chalmers_2b2b,2,2,775,"48"" flat screen TV, 48"" Television, 9 foot Ceilings, Assigned covered parking $70/month, Assigned uncovered parking - $50/month, Cherry Cabinetry, corian counters, Elevator, FOB and remote entry system, glass tile backsplash, Quality upgrades throughout, Secure Building, Smooth Cooktop, Vaulted ceilings available, Controlled Access, Security System, Video Patrol, Available 24/7, Furnished Apartments, Recycling Program, Elevator, High Speed Internet, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Alarm System, Bathtub/Shower, Intercom System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Stainless Steel Appliances, Kitchen with Island, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Wood Flooring, Carpeting, Ceramic Tile Flooring, Vaulted Ceiling, Skylight, Linen Closet, Furnished, Accent Walls, Balcony, Patio","53 E Chalmers St, Champaign, IL 61820",40.10633,-88.2399,5,(844) 741-8210,https://image3.apartmentfinder.com/i2/CU0hVwWts_M0_ZxeUZyp0jg-SLk_7NepG9dpwlGdoM8/118/smith-apartments-53-east-chalmers-champaign-il-primary-photo.jpg
,,,,,,,,,,
201 West Green Street - BRAND NEW_2b2b,2,2,1450,"55"" FLAT SCREEN TV IN LIVING ROOM, 9 Foot Ceilings Throughout, Balcony in some units, Building entry with FOB Key Access, Ceiling Fans in Bedrooms and Living Room, Dark Wood Cabinetry, Fully Furnished Apartments, Granite Counter Tops, High Speed Fiber Internet Included, Plenty of Onsite Parking, Walking Distance to Campus, Furnished Apartments, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, Dishwasher, Stainless Steel Appliances, Oven, Stove, Refrigerator","201 W Green St, Champaign, IL 61820",40.10995,-88.24602,4,(217) 903-4603,https://image3.apartmentfinder.com/i2/rfbcjz5v235sCqgokBhXhtQ28q45bBS_qO3FouUk-W0/118/201-west-green-street---brand-new-champaign-il-primary-photo.jpg
,,,,,,,,,,
BRAND NEW Healey Place Apartments_4b4b,4,4,Call for Rent,"37 INCH TVS IN EACH BEDROOM, 55 INCH TVS IN ALL LIVING ROOMS, ALL INCLUSIVE UTILITIES WITH A CAP, BUILDING PARKING AVAILABLE FOR A FEE, HIGH SPEED INTERNET INCLUDED IN RENT, OVER 50 SECURITY CAMERAS IN COMMON AREAS, QUEEN SIZE BEDS IN EACH ROOM, ROOM SERVICE FROM THE HUB AVAILABLE, SECURE BUILDING WITH FOB ENTRY SYSTEM, STUDY ROOM AND A CONFERENCE ROOM, TWO COMMUNITY ROOMS, WASHER/DRYER IN UNIT, Clubhouse, Fitness Center, Washer/Dryer, A/C, Heating, Dishwasher, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator","601 S 1st St, Champaign, IL 61820",40.11115,-88.23892,5,(217) 305-4590,https://image2.apartmentfinder.com/i2/aA37tAeoNKXAW5SkwR2CVno_QbB-NDmnD-IImSvqsP4/118/brand-new-healey-place-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
Mattis North Apartments_3b1b,3,1,760,"Self-Service Laundry, On-Site Property Manager, Recycling Program, High Speed Internet, A/C, Heating, Smoke Free, Wired for Cable, Kitchen, Oven, Refrigerator, Ceramic Tile Flooring","2000 N Mattis Ave, Champaign, IL 61821",40.13816,-88.27529,4,(217) 305-7810,https://image3.apartmentfinder.com/i2/22p5f_A38fdp9t6Y4b6VoAh2Ou5c2K6gdUIftnhDvAA/118/mattis-north-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
101 E Green St_4b1.5b,4,1.5,399,"Amenities Pass To 309 Green - $10/Mo, Self-Service Laundry, On-Site Maintenance, Furnished Apartments, High Speed Internet, A/C, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Kitchen, Microwave","101 E Green St, Champaign, IL 61820",40.1101,-88.23826,5,(217) 305-4353,https://image2.apartmentfinder.com/i2/lE2X_AWKW5Y4dqOkBaE07XqJVCFfveC3C6i6QNtSF9U/118/101-e-green-st-champaign-il-primary-photo.jpg
,,,,,,,,,,
Twin Oaks Apartments_1b1b,1,1,575,"ACROSS THE STREET FROM PARKLAND COLLEGE, Fiber Optic Internet for $25 a month!, Free Golf Membership at Legends for 2017, Laundry Rooms on site!, Self-Service Laundry, On-Site Maintenance, Available 24/7, Curbside Trash Pickup, Picnic Area, High Speed Internet, A/C, Heating, Ceiling Fans, Wired for Cable, Bathtub/Shower, Dishwasher, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Carpeting, Vaulted Ceiling, Walk-In Closets, Linen Closet","2415-2435 W Bradley Ave, Champaign, IL 61821",40.12643,-88.28911,5,(217) 305-7764,https://image3.apartmentfinder.com/i2/Rf00-4avCqhtuJsmc1n0ZiwZipkA0igFcPvhuvVe-UM/118/twin-oaks-apartments-champaign-il-twin-oaks.jpg
,,,,,,,,,,
